Date,Time,Observer,Colony ID,Treatment (Control/Experimental),Side/arm of feeder,Side that ant went towards,Ant choice,Ant fed on the feeder,Weather notes,Ground temperature (Degree celsius),Setup temperature (Degree Celsius)
9/20/2024,6:30 PM,Chinmay,C4F24,Control,Left,Left,Correct,Yes,Sunny,34.7,30.2
9/22/2024,5:30 PM,Chinmay,C4F24,Experimental,Left,Left,Correct,Yes,Sunny,36.1,34
9/22/2024,5:30 PM,Chinmay,C4F24,Experimental,Left,Abandoned,Abandoned,No,Sunny,36.1,34
9/25/2024,5:45 PM,Chinmay,C4F24,Control,Left,Left,Correct,Yes,Sunny,38,35.6
9/26/2024,5:10 PM,Chinmay,C4F24,Control,Left,Left,Correct,No,Sunny,38.5,35.2
9/29/2024,5:50 PM,Chinmay,C5F24,Control,Right,Right,Correct,No,Sunny,44.4,41.4
10/2/2024,5:20 PM,Chinmay,C2F24,Control,Left,Left,Correct,Yes,Sunny,33.6,31.2
10/3/2024,5:45 PM,Chinmay,C5F24,Experimental,Right,Abandoned,Abandoned,No,Sunny,44.6,39.6
10/3/2024,5:45 PM,Chinmay,C5F24,Experimental,Right,Right,Correct,Yes,Sunny,44.6,39.6
10/8/2024,5:30 PM,Chinmay,C4F24,Experimental,Right,Abandoned,Abandoned,No,Sunny and partly cloudy,37.7,34.6
10/8/2024,5:30 PM,Chinmay,C4F24,Experimental,Right,Right,Correct,Yes,Sunny and partly cloudy,37.7,34.6
10/11/2024,5:45 PM,Chinmay,C4F24,Control,Right,Right,Correct,No,Sunny,34.5,31.1
10/12/2024,4:30 PM,Chinmay,C1F24,Control,Right,Right,Correct,Yes,Sunny,36.4,33.6
10/23/2024,5:45 PM,Chinmay,C7F24,Control,Right,Right,Correct,Yes,Sunny and partly windy,31.1,27.6
10/24/2024,5:10 PM,Chinmay,C7F24,Experimental,Left,Left,Correct,No,Sunny,29.6,25.1
10/24/2024,5:10 PM,Chinmay,C7F24,Experimental,Left,Abandoned,Abandoned,No,Sunny,29.6,25.1
10/25/2024,5:45 PM,Chinmay,C7F24,Control,Right,Right,Correct,Yes,Sunny,28.5,26.3
10/28/2024,5:15 PM,Chinmay,C7F24,Experimental,Left,Abandoned,Abandoned,No,Sunny,28.5,26.7
10/28/2024,5:15 PM,Chinmay,C7F24,Experimental,Left,Abandoned,Abandoned,No,Sunny,28.5,26.7
10/7/2025,5:30 PM,Chinmay,C1F25,Experimental,Right,Abandoned,Abandoned,No,Sunny,33.2,31.8
10/7/2025,5:30 PM,Chinmay,C1F25,Experimental,Right,Abandoned,Abandoned,No,Sunny,33.2,31.8
10/9/2025,4:30 PM,Chinmay,C1F25,Experimental,Left,Abandoned,Abandoned,No,Cloudy,30.3,29.8
10/9/2025,4:30 PM,Chinmay,C1F25,Experimental,Left,Abandoned,Abandoned,No,Cloudy,30.3,29.8
10/9/2025,4:30 PM,Chinmay,C2F25,Experimental,Right,Abandoned,Abandoned,No,Cloudy,29.7,28.5
10/9/2025,4:30 PM,Chinmay,C2F25,Experimental,Right,Left,Wrong,No,Cloudy,29.7,28.5
10/10/2025,4:50 PM,Chinmay,C1F25,Experimental,Right,Abandoned,Abandoned,No,Cloudy,NA,NA
10/10/2025,4:50 PM,Chinmay,C1F25,Experimental,Right,Abandoned,Abandoned,No,Cloudy,NA,NA
10/15/2025,2:50 PM,Chinmay,C1F25,Experimental,Left,Abandoned,Abandoned,No,Sunny,30.7,29.3
10/15/2025,2:50 PM,Chinmay,C1F25,Experimental,Left,Left,Correct,Yes,Sunny,30.7,29.3
10/16/2025,4:30 PM,Chinmay,C1F25,Experimental,Right,Right,Correct,Yes,Sunny and partly windy,27.8,26.1
11/13/2025,4:10 PM,Chinmay,C1F25,Control,Left,Left,Correct,Yes,Cloudy and partly windy,28.1,26.5
11/14/2025,4:45 PM,Chinmay,C1F25,Control,Left,Left,Correct,Yes,Sunny and partly windy,28.3,26.9
